x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
0,24,Pass,64,60,1,0,0,0,0
0,26,Pass,64,60,1,0,0,0,0
0,28,Pass,64,60,1,0,0,0,0
0,30,Pass,64,60,1,0,0,0,0
0,32,Pass,64,60,1,0,0,0,0
0,34,Pass,64,60,1,0,0,0,0
0,36,Pass,64,60,1,0,0,0,0
0,38,Pass,64,60,1,0,0,0,0
0,40,Pass,64,60,1,0,0,0,0
0,42,Pass,64,60,1,0,0,0,0
0,44,Pass,64,60,1,0,0,0,0
2,22,Pass,64,60,1,0,0,0,0
2,24,Pass,64,60,1,0,0,0,0
2,26,Pass,64,60,1,0,0,0,0
2,28,Pass,64,60,1,0,0,0,0
2,30,Pass,64,60,1,0,0,0,0
2,32,Pass,64,60,1,0.001,0,0,0
2,34,Pass,64,60,1,0.001,0,0,0
2,36,Pass,64,60,1,0.001,0,0,0
2,38,Pass,64,60,1,0,0,0,0
2,40,Pass,64,60,1,0,0,0,0
2,42,Pass,64,60,1,0,0,0,0
2,44,Pass,64,60,1,0,0,0,0
2,46,Pass,64,60,1,0,0,0,0
4,22,Pass,64,60,1,0,0,0,0
4,24,Pass,64,60,1,0,0,0,0
4,26,Pass,64,60,1,0,0,0,0
4,28,Pass,64,60,1,0,0,0,0
4,30,Pass,64,60,1,0.001,0,0,0
4,32,Pass,64,60,1,0.001,0,0,0
4,34,Pass,64,60,1,0.001,0,0,0
4,36,Pass,64,60,1,0.001,0,0,0
4,38,Pass,64,60,1,0.001,0,0,0
4,40,Pass,64,60,1,0,0,0,0
4,42,Pass,64,60,1,0,0,0,0
4,44,Pass,64,60,1,0,0,0,0
4,46,Pass,64,60,1,0,0,0,0
6,22,Pass,64,60,1,0,0,0,0
6,24,Pass,64,60,1,0,0,0,0
6,26,Pass,64,60,1,0,0,0,0
6,28,Pass,64,60,1,0,0,0,0
6,30,Pass,64,60,1,0.001,0,0,0
6,32,Pass,64,60,1,0.001,0,0,0
6,34,Pass,64,60,1,0.002,0,0,0
6,36,Pass,64,60,1,0.001,0,0,0
