x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
0,64,Pass,86,60,1,0,0,0,0
0,66,Pass,86,60,1,0,0,0,0
0,68,Pass,86,60,1,0,0,0,0
0,70,Pass,86,60,1,0,0,0,0
0,72,Pass,86,60,1,0.001,0,0,0
0,74,Pass,86,60,2,0.001,0,0,0
0,76,Pass,86,60,2,0.001,0,0,0
0,78,Pass,86,60,1,0,0,0,0
0,80,Pass,86,60,1,0,0,0,0
2,64,Pass,86,60,2,0,0,0,0
2,66,Pass,86,60,2,0,0,0,0
2,68,Pass,86,60,3,0,0,0,0
2,70,Pass,86,60,3,0.001,0,0,0
2,72,Pass,86,60,3,0.002,0,0,0
2,74,Pass,86,60,3,0.002,0,0,0
2,76,Pass,86,60,2,0.002,0,0,0
2,78,Pass,86,60,2,0.002,0,0,0
2,80,Pass,86,60,2,0.001,0,0,0
4,60,Pass,86,60,1,0,0,0,0
4,62,Pass,86,60,2,0,0,0,0
4,64,Pass,86,60,2,0,0,0,0
4,66,Pass,86,60,3,0,0,0,0
4,68,Pass,86,60,3,0.001,0,0,0
4,70,Pass,86,60,3,0.002,0,0,0
4,72,Pass,86,60,3,0.004,0,0,0
4,74,Pass,86,60,3,0.005,0,0,0
4,76,Pass,86,60,3,0.005,0,0,0
4,78,Pass,86,60,3,0.004,0,0,0
4,80,Pass,86,60,2,0.002,0,0,0
6,60,Pass,86,60,1,0,0,0,0
6,62,Pass,86,60,2,0,0,0,0
6,64,Pass,86,60,3,0,0,0,0
6,66,Pass,86,60,3,0,0,0,0
6,68,Pass,86,60,3,0.001,0,0,0
6,70,Pass,86,60,3,0.004,0,0,0
6,72,Pass,86,60,3,0.007,0,0,0
6,74,Pass,86,60,3,0.01,0,0,0
6,76,Pass,86,60,3,0.01,0,0,0
6,78,Pass,86,60,3,0.007,0,0,0
6,80,Pass,86,60,2,0.003,0,0,0
8,58,Pass,86,60,1,0,0,0,0
8,60,Pass,86,60,1,0,0,0,0
8,62,Pass,86,60,2,0,0,0,0
8,64,Pass,86,60,3,0,0,0,0
8,66,Pass,86,60,4,0.001,0,0,0
8,68,Pass,86,60,4,0.002,0,0,0
8,70,Pass,86,60,4,0.006,0,0,0
8,72,Pass,86,60,5,0.011,0,0,0
8,74,Pass,86,60,5,0.016,0,0,0
8,76,Pass,86,60,5,0.016,0,0,0
8,78,Pass,86,60,3,0.011,0,0,0
8,80,Pass,86,60,3,0.005,0,0,0
10,58,Pass,86,60,1,0,0,0,0
10,60,Pass,86,60,1,0,0,0,0
10,62,Pass,86,60,3,0,0,0,0
10,64,Pass,86,60,4,0,0,0,0
10,66,Pass,86,60,4,0.001,0,0,0
10,68,Pass,86,60,5,0.003,0,0,0
10,70,Pass,86,60,5,0.008,0,0,0
10,72,Pass,86,60,5,0.016,0,0,0
10,74,Pass,86,60,5,0.024,0,0,0
10,76,Pass,86,60,5,0.024,0,0,0
10,78,Pass,86,60,5,0.017,0,0,0
10,80,Pass,86,60,4,0.009,0,0,0
12,56,Pass,86,60,1,0,0,0,0
12,58,Pass,86,60,1,0,0,0,0
12,60,Pass,86,60,2,0,0,0,0
12,62,Pass,86,60,3,0,0,0,0
12,64,Pass,86,60,5,0,0,0,0
12,66,Pass,86,60,6,0.001,0,0,0
12,68,Pass,86,60,6,0.004,0,0,0
12,70,Pass,86,60,6,0.01,0,0,0
12,72,Pass,86,60,6,0.021,0,0,0
12,74,Pass,86,60,6,0.03,0,0,0
12,76,Pass,86,60,5,0.031,0,0,0
12,78,Pass,86,60,5,0.022,0,0,0
12,80,Pass,86,60,5,0.011,0,0,0
14,56,Pass,86,60,1,0,0,0,0
14,58,Pass,86,60,1,0,0,0,0
14,60,Pass,86,60,2,0,0,0,0
14,62,Pass,86,60,4,0,0,0,0
14,64,Pass,86,60,6,0,0,0,0
14,66,Pass,86,60,6,0.001,0,0,0
14,68,Pass,86,60,6,0.004,0,0,0
14,70,Pass,86,60,6,0.01,0,0,0
14,72,Pass,86,60,6,0.021,0,0,0
14,74,Pass,86,60,6,0.03,0,0,0
14,76,Pass,86,60,6,0.031,0,0,0
14,78,Pass,86,60,6,0.022,0,0,0
14,80,Pass,86,60,5,0.011,0,0,0
16,56,Pass,86,60,1,0,0,0,0
16,58,Pass,86,60,2,0,0,0,0
16,60,Pass,86,60,3,0,0,0,0
16,62,Pass,86,60,4,0,0,0,0
16,64,Pass,86,60,5,0,0,0,0
16,66,Pass,86,60,6,0.001,0,0,0
16,68,Pass,86,60,6,0.003,0,0,0
16,70,Pass,86,60,6,0.008,0,0,0
16,72,Pass,86,60,6,0.016,0,0,0
16,74,Pass,86,60,6,0.022,0,0,0
16,76,Pass,86,60,6,0.022,0,0,0
16,78,Pass,86,60,6,0.016,0,0,0
16,80,Pass,86,60,6,0.008,0,0,0
18,58,Pass,86,60,3,0,0,0,0
18,60,Pass,86,60,3,0,0,0,0
18,62,Pass,86,60,4,0,0,0,0
18,64,Pass,86,60,5,0,0,0,0
18,66,Pass,86,60,6,0.001,0,0,0
18,68,Pass,86,60,7,0.003,0,0,0
18,70,Pass,86,60,7,0.006,0,0,0
18,72,Pass,86,60,7,0.01,0,0,0
18,74,Pass,86,60,6,0.013,0,0,0
18,76,Pass,86,60,6,0.013,0,0,0
18,78,Pass,86,60,6,0.009,0,0,0
18,80,Pass,86,60,6,0.004,0,0,0
20,58,Pass,86,60,3,0,0,0,0
20,60,Pass,86,60,3,0,0,0,0
20,62,Pass,86,60,5,0.001,0,0,0
20,64,Pass,86,60,7,0.002,0,0,0
20,66,Pass,86,60,7,0.003,0,0,0
20,68,Pass,86,60,7,0.005,0,0,0
20,70,Pass,86,60,7,0.007,0,0,0
20,72,Pass,86,60,8,0.008,0,0,0
20,74,Pass,86,60,7,0.008,0,0,0
20,76,Pass,86,60,7,0.007,0,0,0
20,78,Pass,86,60,6,0.004,0,0,0
20,80,Pass,86,60,5,0.002,0,0,0
22,58,Pass,86,60,2,0,0,0,0
22,60,Pass,86,60,5,0.001,0,0,0
22,62,Pass,86,60,6,0.003,0,0,0
22,64,Pass,86,60,6,0.008,0,0,0
22,66,Pass,86,60,7,0.015,0,0,0
22,68,Pass,86,60,7,0.019,0,0,0
22,70,Pass,86,60,7,0.018,0,0,0
22,72,Pass,86,60,7,0.013,0,0,0
22,74,Pass,86,60,7,0.008,0,0,0
22,76,Pass,86,60,6,0.005,0,0,0
22,78,Pass,86,60,6,0.002,0,0,0
22,80,Pass,86,60,4,0.001,0,0,0
24,58,Pass,86,60,4,0.001,0,0,0
24,60,Pass,86,60,4,0.004,0,0,0
24,62,Pass,86,60,6,0.013,0,0,0
24,64,Pass,86,60,6,0.033,0,0,0
