x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
0,24,Pass,68,44,1,0,0,0,0
0,26,Pass,68,44,1,0.001,0,0,0
0,28,Pass,68,44,1,0.002,0,0,0
0,30,Pass,68,44,1,0.006,0,0,0
0,32,Pass,68,44,1,0.01,0,0,0
0,34,Pass,68,44,1,0.012,0,0,0
0,36,Pass,68,44,1,0.01,0,0,0
0,38,Pass,68,44,1,0.006,0,0,0
0,40,Pass,68,44,1,0.002,0,0,0
0,42,Pass,68,44,1,0.001,0,0,0
0,44,Pass,68,44,1,0,0,0,0
2,22,Pass,68,44,1,0,0,0,0
2,24,Pass,68,44,1,0,0,0,0
2,26,Pass,68,44,1,0.002,0,0,0
2,28,Pass,68,44,1,0.007,0,0,0
2,30,Pass,68,44,1,0.016,0,0,0
2,32,Pass,68,44,1,0.028,0,0,0
2,34,Pass,68,44,1,0.033,0,0,0
2,36,Pass,68,44,1,0.028,0,0,0
2,38,Pass,68,44,1,0.016,0,0,0
2,40,Pass,68,44,1,0.007,0,0,0
2,42,Pass,68,44,1,0.002,0,0,0
2,44,Pass,68,44,1,0,0,0,0
2,46,Pass,68,44,1,0,0,0,0
4,22,Pass,68,44,1,0,0,0,0
4,24,Pass,68,44,1,0.001,0,0,0
4,26,Pass,68,44,1,0.004,0,0,0
4,28,Pass,68,44,1,0.012,0,0,0
4,30,Pass,68,44,1,0.031,0,0,0
4,32,Pass,68,44,1,0.053,0,0,0
4,34,Pass,68,44,1,0.063,0,0,0
4,36,Pass,68,44,1,0.053,0,0,0
4,38,Pass,68,44,1,0.031,0,0,0
4,40,Pass,68,44,1,0.012,0,0,0
4,42,Pass,68,44,1,0.004,0,0,0
4,44,Pass,68,44,1,0.001,0,0,0
4,46,Pass,68,44,1,0,0,0,0
6,22,Pass,68,44,1,0,0,0,0
6,24,Pass,68,44,1,0.001,0,0,0
6,26,Pass,68,44,1,0.005,0,0,0
6,28,Pass,68,44,1,0.017,0,0,0
6,30,Pass,68,44,1,0.041,0,0,0
6,32,Pass,68,44,1,0.071,0,0,0
6,34,Pass,68,44,1,0.084,0,0,0
6,36,Pass,68,44,1,0.071,0,0,0
6,38,Pass,68,44,1,0.041,0,0,0
6,40,Pass,68,44,1,0.017,0,0,0
6,42,Pass,68,44,1,0.005,0,0,0
6,44,Pass,68,44,1,0.001,0,0,0
6,46,Pass,68,44,1,0,0,0,0
8,22,Pass,68,44,1,0,0,0,0
8,24,Pass,68,44,1,0.001,0,0,0
8,26,Pass,68,44,1,0.004,0,0,0
8,28,Pass,68,44,1,0.016,0,0,0
8,30,Pass,68,44,1,0.038,0,0,0
8,32,Pass,68,44,1,0.066,0,0,0
8,34,Pass,68,44,1,0.079,0,0,0
8,36,Pass,68,44,1,0.066,0,0,0
