x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedProbabiliticGoals,GoalProbability
54,22,Pass,120,0,4,0,0,0,0
54,22,Pass,120,2,5,0,0,0,0
54,22,Pass,120,4,7,0.001,0,0,0
54,22,Pass,120,6,8,0.002,0,0,0
54,22,Pass,120,8,8,0.003,0,0,0
54,22,Pass,120,10,8,0.003,0,0,0
54,22,Pass,120,12,7,0.002,0,0,0
54,22,Pass,120,14,8,0.001,0,0,0
54,22,Pass,120,16,8,0.001,0,0,0
54,22,Pass,120,18,10,0,0,0,0
54,22,Pass,120,20,9,0,0,0,0
54,22,Pass,120,22,6,0,0,0,0
54,22,Pass,120,24,5,0,0,0,0
54,22,Pass,120,26,5,0,0,0,0
54,22,Pass,120,28,3,0,0,0,0
54,22,Pass,120,30,3,0,0,0,0
54,22,Pass,120,32,1,0.001,0,0,0
54,22,Pass,120,34,1,0.001,0,0,0
54,22,Pass,120,36,1,0,0,0,0
54,22,Pass,120,38,1,0,0,0,0
54,22,Pass,120,40,1,0,0,0,0
54,22,Pass,120,42,1,0,0,0,0
54,22,Pass,120,44,1,0,0,0,0
54,22,Pass,120,46,1,0,0,0,0
54,22,Pass,120,52,1,0,0,0,0
54,22,Pass,120,54,1,0,0,0,0
54,22,Pass,120,56,1,0,0,0,0
54,22,Pass,120,58,1,0,0,0,0
54,22,Pass,120,60,1,0,0,0,0
54,22,Pass,120,62,1,0,0,0,0
54,22,Pass,120,64,2,0,0,0,0
54,22,Pass,120,66,2,0,0,0,0
54,22,Pass,120,68,2,0,0,0,0
54,22,Pass,120,70,2,0,0,0,0
54,22,Pass,120,72,1,0,0,0,0
54,22,Pass,120,74,1,0,0,0,0
54,22,Pass,120,76,1,0,0,0,0
54,22,Pass,120,78,1,0,0,0,0
54,22,Pass,120,80,1,0,0,0,0
54,22,Pass,118,0,4,0,0,0,0
54,22,Pass,118,2,7,0,0,0,0
54,22,Pass,118,4,7,0.001,0,0,0
54,22,Pass,118,6,8,0.002,0,0,0
54,22,Pass,118,8,8,0.003,0,0,0
54,22,Pass,118,10,8,0.004,0,0,0
54,22,Pass,118,12,9,0.004,0,0,0
54,22,Pass,118,14,9,0.003,0,0,0
54,22,Pass,118,16,10,0.002,0,0,0
54,22,Pass,118,18,10,0.001,0,0,0
54,22,Pass,118,20,11,0,0,0,0
54,22,Pass,118,22,8,0,0,0,0
54,22,Pass,118,24,7,0,0,0,0
54,22,Pass,118,26,6,0,0,0,0
