x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
0,54,Pass,66,50,1,0,0,0,0
0,56,Pass,66,50,1,0,0,0,0
0,58,Pass,66,50,1,0,0,0,0
0,60,Pass,66,50,1,0,0,0,0
0,62,Pass,66,50,1,0,0,0,0
0,64,Pass,66,50,2,0,0,0,0
0,66,Pass,66,50,2,0,0,0,0
0,68,Pass,66,50,2,0,0,0,0
0,70,Pass,66,50,2,0,0,0,0
0,72,Pass,66,50,2,0,0,0,0
0,74,Pass,66,50,2,0,0,0,0
0,76,Pass,66,50,1,0,0,0,0
0,78,Pass,66,50,1,0,0,0,0
0,80,Pass,66,50,1,0,0,0,0
2,54,Pass,66,50,1,0,0,0,0
2,56,Pass,66,50,1,0,0,0,0
2,58,Pass,66,50,1,0,0,0,0
2,60,Pass,66,50,1,0,0,0,0
2,62,Pass,66,50,1,0,0,0,0
2,64,Pass,66,50,2,0,0,0,0
2,66,Pass,66,50,2,0,0,0,0
2,68,Pass,66,50,2,0,0,0,0
2,70,Pass,66,50,2,0,0,0,0
2,72,Pass,66,50,2,0,0,0,0
2,74,Pass,66,50,2,0,0,0,0
2,76,Pass,66,50,2,0,0,0,0
2,78,Pass,66,50,1,0,0,0,0
2,80,Pass,66,50,1,0,0,0,0
4,52,Pass,66,50,1,0,0,0,0
4,54,Pass,66,50,1,0,0,0,0
4,56,Pass,66,50,1,0,0,0,0
4,58,Pass,66,50,1,0,0,0,0
4,60,Pass,66,50,1,0,0,0,0
4,62,Pass,66,50,2,0,0,0,0
4,64,Pass,66,50,3,0,0,0,0
4,66,Pass,66,50,3,0,0,0,0
4,68,Pass,66,50,3,0,0,0,0
4,70,Pass,66,50,3,0,0,0,0
4,72,Pass,66,50,3,0.001,0,0,0
4,74,Pass,66,50,3,0.001,0,0,0
4,76,Pass,66,50,2,0.001,0,0,0
4,78,Pass,66,50,1,0.001,0,0,0
4,80,Pass,66,50,1,0,0,0,0
6,52,Pass,66,50,1,0,0,0,0
6,54,Pass,66,50,1,0,0,0,0
6,56,Pass,66,50,1,0,0,0,0
6,58,Pass,66,50,1,0,0,0,0
6,60,Pass,66,50,1,0,0,0,0
6,62,Pass,66,50,3,0,0,0,0
6,64,Pass,66,50,3,0,0,0,0
6,66,Pass,66,50,3,0,0,0,0
6,68,Pass,66,50,3,0,0,0,0
6,70,Pass,66,50,3,0.001,0,0,0
6,72,Pass,66,50,3,0.001,0,0,0
6,74,Pass,66,50,3,0.001,0,0,0
6,76,Pass,66,50,3,0.001,0,0,0
6,78,Pass,66,50,2,0.001,0,0,0
6,80,Pass,66,50,1,0,0,0,0
8,52,Pass,66,50,1,0,0,0,0
8,54,Pass,66,50,1,0,0,0,0
8,56,Pass,66,50,1,0,0,0,0
8,58,Pass,66,50,1,0,0,0,0
8,60,Pass,66,50,2,0,0,0,0
8,62,Pass,66,50,3,0,0,0,0
8,64,Pass,66,50,3,0,0,0,0
8,66,Pass,66,50,4,0,0,0,0
8,68,Pass,66,50,4,0,0,0,0
8,70,Pass,66,50,4,0.001,0,0,0
8,72,Pass,66,50,4,0.001,0,0,0
8,74,Pass,66,50,4,0.001,0,0,0
8,76,Pass,66,50,4,0.001,0,0,0
8,78,Pass,66,50,2,0.001,0,0,0
8,80,Pass,66,50,2,0,0,0,0
10,52,Pass,66,50,1,0,0,0,0
10,54,Pass,66,50,1,0,0,0,0
10,56,Pass,66,50,1,0,0,0,0
10,58,Pass,66,50,2,0,0,0,0
10,60,Pass,66,50,2,0,0,0,0
10,62,Pass,66,50,4,0,0,0,0
10,64,Pass,66,50,4,0,0,0,0
10,66,Pass,66,50,4,0,0,0,0
10,68,Pass,66,50,4,0.001,0,0,0
10,70,Pass,66,50,4,0.001,0,0,0
10,72,Pass,66,50,4,0.001,0,0,0
10,74,Pass,66,50,4,0.001,0,0,0
10,76,Pass,66,50,4,0.001,0,0,0
10,78,Pass,66,50,3,0.001,0,0,0
10,80,Pass,66,50,2,0,0,0,0
12,54,Pass,66,50,1,0,0,0,0
12,56,Pass,66,50,1,0,0,0,0
12,58,Pass,66,50,3,0,0,0,0
12,60,Pass,66,50,4,0,0,0,0
12,62,Pass,66,50,4,0,0,0,0
