x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedProbabiliticGoals,GoalProbability
60,74,Pass,120,0,1,0,0,0,0
60,74,Pass,120,2,1,0,0,0,0
60,74,Pass,120,4,1,0,0,0,0
60,74,Pass,120,6,1,0,0,0,0
60,74,Pass,120,8,1,0,0,0,0
60,74,Pass,120,10,1,0,0,0,0
60,74,Pass,120,12,1,0,0,0,0
60,74,Pass,120,14,1,0,0,0,0
60,74,Pass,120,16,2,0,0,0,0
60,74,Pass,120,18,2,0,0,0,0
60,74,Pass,120,20,2,0,0,0,0
60,74,Pass,120,22,2,0,0,0,0
60,74,Pass,120,24,1,0,0,0,0
60,74,Pass,120,26,1,0,0,0,0
60,74,Pass,120,28,1,0,0,0,0
60,74,Pass,120,30,1,0,0,0,0
60,74,Pass,120,32,1,0,0,0,0
60,74,Pass,120,34,1,0,0,0,0
60,74,Pass,120,36,1,0,0,0,0
60,74,Pass,120,38,1,0,0,0,0
60,74,Pass,120,40,2,0,0,0,0
60,74,Pass,120,42,1,0,0,0,0
60,74,Pass,120,44,1,0,0,0,0
60,74,Pass,120,46,2,0,0,0,0
60,74,Pass,120,48,4,0,0,0,0
60,74,Pass,120,50,4,0,0,0,0
60,74,Pass,120,52,5,0,1,0,0
60,74,Pass,120,54,7,0.001,1,0,0
60,74,Pass,120,56,9,0.003,1,0,0
60,74,Pass,120,58,7,0.004,1,0,0
60,74,Pass,120,60,8,0.004,1,0,0
60,74,Pass,120,62,10,0.003,1,0,0
60,74,Pass,120,64,9,0.002,0,0,0
60,74,Pass,120,66,10,0.001,0,0,0
60,74,Pass,120,68,11,0.001,0,0,0
60,74,Pass,120,70,11,0.002,0,0,0
60,74,Pass,120,72,10,0.002,0,0,0
60,74,Pass,120,74,7,0.002,0,0,0
60,74,Pass,120,76,7,0.003,0,0,0
60,74,Pass,120,78,6,0.003,0,0,0
60,74,Pass,120,80,6,0.003,0,0,0
60,74,Pass,118,0,1,0,0,0,0
60,74,Pass,118,2,1,0,0,0,0
60,74,Pass,118,4,1,0,0,0,0
60,74,Pass,118,6,1,0,0,0,0
60,74,Pass,118,8,1,0,0,0,0
60,74,Pass,118,10,1,0,0,0,0
60,74,Pass,118,12,1,0,0,0,0
60,74,Pass,118,14,1,0,0,0,0
60,74,Pass,118,16,2,0,0,0,0
60,74,Pass,118,18,2,0,0,0,0
60,74,Pass,118,20,2,0,0,0,0
60,74,Pass,118,22,2,0,0,0,0
60,74,Pass,118,24,1,0,0,0,0
60,74,Pass,118,26,1,0,0,0,0
60,74,Pass,118,28,1,0,0,0,0
60,74,Pass,118,30,1,0,0,0,0
60,74,Pass,118,32,1,0,0,0,0
60,74,Pass,118,34,1,0,0,0,0
60,74,Pass,118,36,1,0,0,0,0
60,74,Pass,118,38,2,0,0,0,0
60,74,Pass,118,40,2,0,0,0,0
60,74,Pass,118,42,2,0,0,0,0
