x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedProbabiliticGoals,GoalProbability
30,40,Pass,120,36,1,0,0,0,0
30,40,Pass,120,38,1,0,0,0,0
30,40,Pass,120,40,1,0,0,0,0
30,40,Pass,120,42,1,0,0,0,0
30,40,Pass,120,44,1,0,0,0,0
30,40,Pass,120,46,1,0,0,0,0
30,40,Pass,120,48,1,0,0,0,0
30,40,Pass,120,50,1,0,0,0,0
30,40,Pass,120,52,1,0,0,0,0
30,40,Pass,120,54,1,0,0,0,0
30,40,Pass,120,56,1,0,0,0,0
30,40,Pass,120,60,1,0,0,0,0
30,40,Pass,120,62,1,0,0,0,0
30,40,Pass,120,64,1,0,0,0,0
30,40,Pass,120,66,1,0,0,0,0
30,40,Pass,120,68,1,0,0,0,0
30,40,Pass,120,70,1,0,0,0,0
30,40,Pass,120,72,1,0,0,0,0
30,40,Pass,120,74,1,0,0,0,0
30,40,Pass,120,76,1,0,0,0,0
30,40,Pass,120,78,1,0,0,0,0
30,40,Pass,120,80,1,0,0,0,0
30,40,Pass,118,36,1,0,0,0,0
30,40,Pass,118,38,1,0,0,0,0
30,40,Pass,118,40,1,0,0,0,0
30,40,Pass,118,42,1,0,0,0,0
30,40,Pass,118,44,1,0,0,0,0
30,40,Pass,118,46,1,0,0,0,0
30,40,Pass,118,48,1,0,0,0,0
30,40,Pass,118,50,1,0,0,0,0
30,40,Pass,118,52,1,0,0,0,0
30,40,Pass,118,54,1,0,0,0,0
30,40,Pass,118,56,1,0,0,0,0
30,40,Pass,118,58,1,0,0,0,0
30,40,Pass,118,60,1,0,0,0,0
30,40,Pass,118,62,1,0,0,0,0
30,40,Pass,118,64,1,0,0,0,0
30,40,Pass,118,66,1,0,0,0,0
30,40,Pass,118,68,1,0,0,0,0
30,40,Pass,118,70,1,0,0,0,0
30,40,Pass,118,72,1,0,0,0,0
30,40,Pass,118,74,1,0,0,0,0
30,40,Pass,118,76,1,0,0,0,0
30,40,Pass,118,78,1,0,0,0,0
30,40,Pass,118,80,1,0,0,0,0
30,40,Pass,116,34,1,0,0,0,0
30,40,Pass,116,36,1,0,0,0,0
30,40,Pass,116,38,1,0,0,0,0
30,40,Pass,116,40,1,0,0,0,0
30,40,Pass,116,42,1,0,0,0,0
30,40,Pass,116,44,1,0,0,0,0
30,40,Pass,116,46,1,0,0,0,0
30,40,Pass,116,48,1,0,0,0,0
30,40,Pass,116,50,1,0,0,0,0
30,40,Pass,116,52,1,0,0,0,0
30,40,Pass,116,54,1,0,0,0,0
30,40,Pass,116,56,1,0,0,0,0
30,40,Pass,116,58,1,0,0,0,0
30,40,Pass,116,60,1,0,0,0,0
30,40,Pass,116,62,1,0,0,0,0
30,40,Pass,116,64,1,0,0,0,0
30,40,Pass,116,66,1,0,0,0,0
30,40,Pass,116,68,1,0,0,0,0
30,40,Pass,116,70,1,0,0,0,0
30,40,Pass,116,72,1,0,0,0,0
30,40,Pass,116,74,1,0,0,0,0
30,40,Pass,116,76,1,0,0,0,0
30,40,Pass,116,78,1,0,0,0,0
30,40,Pass,116,80,1,0,0,0,0
30,40,Pass,114,34,1,0,0,0,0
30,40,Pass,114,36,1,0,0,0,0
30,40,Pass,114,38,2,0,0,0,0
30,40,Pass,114,40,2,0,0,0,0
30,40,Pass,114,42,2,0,0,0,0
30,40,Pass,114,44,2,0,0,0,0
30,40,Pass,114,46,3,0,0,0,0
30,40,Pass,114,48,2,0,0,0,0
30,40,Pass,114,50,2,0,0,0,0
30,40,Pass,114,52,2,0,0,0,0
30,40,Pass,114,54,2,0,0,0,0
30,40,Pass,114,56,2,0,0,0,0
30,40,Pass,114,58,2,0,0,0,0
30,40,Pass,114,60,2,0,0,0,0
30,40,Pass,114,62,1,0,0,0,0
30,40,Pass,114,64,1,0,0,0,0
30,40,Pass,114,66,1,0,0,0,0
30,40,Pass,114,68,1,0,0,0,0
30,40,Pass,114,70,1,0,0,0,0
30,40,Pass,114,72,2,0,0,0,0
30,40,Pass,114,74,2,0,0,0,0
30,40,Pass,114,76,2,0,0,0,0
30,40,Pass,114,78,2,0,0,0,0
30,40,Pass,114,80,2,0,0,0,0
30,40,Pass,112,34,2,0,0,0,0
30,40,Pass,112,36,2,0,0,0,0
30,40,Pass,112,38,2,0,0,0,0
30,40,Pass,112,40,2,0,0,0,0
30,40,Pass,112,42,3,0,0,0,0
30,40,Pass,112,44,3,0,0,0,0
30,40,Pass,112,46,3,0,0,0,0
30,40,Pass,112,48,3,0,0,0,0
30,40,Pass,112,50,3,0,0,0,0
30,40,Pass,112,52,3,0,0,0,0
30,40,Pass,112,54,3,0,0,0,0
30,40,Pass,112,56,3,0,0,0,0
30,40,Pass,112,58,2,0,0,0,0
30,40,Pass,112,60,1,0,0,0,0
30,40,Pass,112,62,2,0,0,0,0
30,40,Pass,112,64,2,0,0,0,0
30,40,Pass,112,66,1,0,0,0,0
30,40,Pass,112,68,2,0,0,0,0
30,40,Pass,112,70,2,0,0,0,0
30,40,Pass,112,72,2,0,0,0,0
30,40,Pass,112,74,3,0,0,0,0
30,40,Pass,112,76,3,0,0,0,0
30,40,Pass,112,78,3,0,0,0,0
30,40,Pass,112,80,3,0,0,0,0
30,40,Pass,110,32,1,0,0,0,0
30,40,Pass,110,34,2,0,0,0,0
30,40,Pass,110,36,2,0,0,0,0
30,40,Pass,110,38,2,0,0,0,0
30,40,Pass,110,40,3,0,0,0,0
30,40,Pass,110,42,3,0,0,0,0
30,40,Pass,110,44,3,0,0,0,0
30,40,Pass,110,46,3,0,0,0,0
30,40,Pass,110,48,4,0,0,0,0
30,40,Pass,110,50,4,0,0,0,0
30,40,Pass,110,52,4,0,0,0,0
30,40,Pass,110,54,3,0,0,0,0
30,40,Pass,110,56,3,0,0,0,0
30,40,Pass,110,58,3,0,0,0,0
30,40,Pass,110,60,1,0,0,0,0
30,40,Pass,110,62,1,0,0,0,0
30,40,Pass,110,64,2,0,0,0,0
30,40,Pass,110,66,3,0,0,0,0
30,40,Pass,110,68,2,0,0,0,0
30,40,Pass,110,70,2,0,0,0,0
30,40,Pass,110,72,3,0,0,0,0
30,40,Pass,110,74,3,0,0,0,0
30,40,Pass,110,76,3,0,0,0,0
30,40,Pass,110,78,3,0,0,0,0
30,40,Pass,110,80,3,0,0,0,0
30,40,Pass,108,32,1,0,0,0,0
30,40,Pass,108,34,2,0,0,0,0
30,40,Pass,108,36,2,0,0,0,0
30,40,Pass,108,38,3,0,0,0,0
30,40,Pass,108,40,3,0,0,0,0
30,40,Pass,108,42,3,0,0,0,0
30,40,Pass,108,44,3,0,0,0,0
30,40,Pass,108,46,3,0,0,0,0
30,40,Pass,108,48,4,0,0,0,0
30,40,Pass,108,50,5,0,0,0,0
30,40,Pass,108,52,5,0,0,0,0
30,40,Pass,108,54,4,0,0,0,0
30,40,Pass,108,56,4,0,0,0,0
30,40,Pass,108,58,3,0,0,0,0
30,40,Pass,108,60,2,0,0,0,0
