x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedProbabiliticGoals,GoalProbability
50,64,Pass,120,0,1,0,0,0,0
50,64,Pass,120,2,1,0,0,0,0
50,64,Pass,120,4,1,0.001,0,0,0
50,64,Pass,120,6,1,0.001,0,0,0
50,64,Pass,120,8,1,0.002,0,0,0
50,64,Pass,120,10,1,0.002,0,0,0
50,64,Pass,120,12,1,0.002,0,0,0
50,64,Pass,120,14,2,0.001,0,0,0
50,64,Pass,120,16,3,0,0,0,0
50,64,Pass,120,18,3,0,0,0,0
50,64,Pass,120,20,3,0,0,0,0
50,64,Pass,120,22,3,0.001,0,0,0
50,64,Pass,120,24,2,0.002,0,0,0
50,64,Pass,120,26,2,0.004,0,0,0
50,64,Pass,120,28,2,0.005,0,0,0
50,64,Pass,120,30,2,0.005,0,0,0
50,64,Pass,120,32,2,0.003,0,0,0
50,64,Pass,120,34,2,0.001,0,0,0
50,64,Pass,120,36,1,0,0,0,0
50,64,Pass,120,38,1,0,0,0,0
50,64,Pass,120,40,2,0,0,0,0
50,64,Pass,120,42,1,0,0,0,0
50,64,Pass,120,44,1,0,0,0,0
50,64,Pass,120,46,2,0,0,0,0
50,64,Pass,120,48,3,0,0,0,0
50,64,Pass,120,50,3,0,0,0,0
50,64,Pass,120,52,3,0,0,0,0
50,64,Pass,120,54,6,0,0,0,0
50,64,Pass,120,56,7,0,0,0,0
50,64,Pass,120,58,5,0.001,0,0,0
50,64,Pass,120,60,5,0.001,0,0,0
50,64,Pass,120,62,6,0.004,0,0,0
50,64,Pass,120,64,6,0.007,0,0,0
50,64,Pass,120,66,7,0.01,0,0,0
50,64,Pass,120,68,7,0.01,0,0,0
50,64,Pass,120,70,8,0.008,0,0,0
50,64,Pass,120,72,7,0.005,0,0,0
50,64,Pass,120,74,6,0.003,0,0,0
50,64,Pass,120,76,6,0.002,0,0,0
50,64,Pass,120,78,5,0.001,0,0,0
50,64,Pass,120,80,4,0,0,0,0
50,64,Pass,118,0,1,0,0,0,0
50,64,Pass,118,2,1,0,0,0,0
50,64,Pass,118,4,1,0.001,0,0,0
50,64,Pass,118,6,1,0.002,0,0,0
50,64,Pass,118,8,1,0.003,0,0,0
50,64,Pass,118,10,1,0.003,0,0,0
50,64,Pass,118,12,2,0.003,0,0,0
50,64,Pass,118,14,2,0.001,0,0,0
50,64,Pass,118,16,3,0,0,0,0
50,64,Pass,118,18,3,0,0,0,0
50,64,Pass,118,20,3,0,0,0,0
50,64,Pass,118,22,3,0.001,0,0,0
50,64,Pass,118,24,2,0.002,0,0,0
50,64,Pass,118,26,3,0.004,0,0,0
50,64,Pass,118,28,3,0.005,0,0,0
50,64,Pass,118,30,3,0.004,0,0,0
50,64,Pass,118,32,3,0.003,0,0,0
50,64,Pass,118,34,3,0.001,0,0,0
50,64,Pass,118,36,1,0,0,0,0
50,64,Pass,118,38,2,0,0,0,0
50,64,Pass,118,40,2,0,0,0,0
50,64,Pass,118,42,2,0,0,0,0
50,64,Pass,118,44,2,0,0,0,0
50,64,Pass,118,46,3,0,0,0,0
50,64,Pass,118,48,7,0,0,0,0
50,64,Pass,118,50,6,0,0,0,0
50,64,Pass,118,52,6,0,0,0,0
50,64,Pass,118,54,7,0,0,0,0
50,64,Pass,118,56,8,0,0,0,0
50,64,Pass,118,58,7,0.001,0,0,0
50,64,Pass,118,60,8,0.001,0,0,0
50,64,Pass,118,62,9,0.003,0,0,0
50,64,Pass,118,64,8,0.006,0,0,0
50,64,Pass,118,66,8,0.009,0,0,0
50,64,Pass,118,68,10,0.009,0,0,0
50,64,Pass,118,70,10,0.007,0,0,0
50,64,Pass,118,72,9,0.005,0,0,0
50,64,Pass,118,74,7,0.003,0,0,0
50,64,Pass,118,76,7,0.001,0,0,0
